Layer type,Size,Output shape
cyclic slice, ,"(128, 1, 95, 95)"
convolution,32 3x3 filters,"(128, 32, 95, 95)"
convolution,16 3x3 filters,"(128, 16, 95, 95)"
max pooling,"3x3, stride 2","(128, 16, 47, 47)"
cyclic roll, ,"(128, 64, 47, 47)"
convolution,64 3x3 filters,"(128, 64, 47, 47)"
convolution,32 3x3 filters,"(128, 32, 47, 47)"
max pooling,"3x3, stride 2","(128, 32, 23, 23)"
cyclic roll, ,"(128, 128, 23, 23)"
convolution,128 3x3 filters,"(128, 128, 23, 23)"
convolution,128 3x3 filters,"(128, 128, 23, 23)"
convolution,64 3x3 filters,"(128, 64, 23, 23)"
max pooling,"3x3, stride 2","(128, 64, 11, 11)"
cyclic roll, ,"(128, 256, 11, 11)"
convolution,256 3x3 filters,"(128, 256, 11, 11)"
convolution,256 3x3 filters,"(128, 256, 11, 11)"
convolution,128 3x3 filters,"(128, 128, 11, 11)"
max pooling,"3x3, stride 2","(128, 128, 5, 5)"
cyclic roll, ,"(128, 512, 5, 5)"
fully connected,512 2-piece maxout units,"(128, 512)"
cyclic pooling (rms), ,"(32, 512)"
fully connected,512 2-piece maxout units,"(32, 512)"
fully connected,121-way softmax,"(32, 121)"
